Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_Disc_D8.0mm_W5.0mm_P5.00mm,1,10 uF,
C2,C_Disc_D8.0mm_W5.0mm_P5.00mm,1,0.01 µF,
C3,C_Disc_D8.0mm_W5.0mm_P5.00mm,1,0.1 uF,
"D1, D10, D11, D12, D2, D3, D4, D5, D6, D7, D8, D9",LED_D5.0mm,12,LED,
J1,USB_A_Molex_67643_Horizontal,1,USB_A,
R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,100k,
"R10, R11, R12, R13, R14, R3, R4, R5, R6, R7, R8, R9",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,12,450Ω,
"R15, R2",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,2,10k,
"SW1, SW2",SW_PUSH-12mm,2,SW_Push,
U1,DIP-8_W7.62mm,1,NE555D,
U2,DIP-16_W7.62mm,1,4040,
