Designator,Mid X,Mid Y,Rotation,Layer
C1,135.25,-94.0,90.0,top
C2,141.8,-94.0,90.0,top
C3,148.35,-94.0,90.0,top
D1,130.655,-67.36,0.0,top
D10,138.105,-82.31,0.0,top
D11,145.615,-82.3,0.0,top
D12,153.095,-82.3,0.0,top
D2,138.135,-67.36,0.0,top
D3,145.605,-67.41,0.0,top
D4,153.105,-67.41,0.0,top
D5,130.705,-74.81,0.0,top
D6,138.135,-74.81,0.0,top
D7,145.605,-74.91,0.0,top
D8,153.105,-74.83,0.0,top
D9,130.605,-82.3,0.0,top
J1,161.68,-46.005,180.0,top
R1,158.19,-53.6,0.0,top
R10,161.94,-71.5,180.0,top
R11,121.69,-77.75,0.0,top
R12,121.69,-81.0,0.0,top
R13,161.94,-77.75,180.0,top
R14,161.94,-81.0,180.0,top
R15,158.21,-59.93,0.0,top
R2,158.19,-56.75,0.0,top
R3,121.81,-65.5,0.0,top
R4,121.81,-68.65,0.0,top
R5,161.94,-68.65,180.0,top
R6,161.94,-65.5,180.0,top
R7,121.69,-71.5,0.0,top
R8,121.69,-74.65,0.0,top
R9,161.94,-74.65,180.0,top
SW1,122.25,-93.75,0.0,top
SW2,160.0,-94.0,0.0,top
U1,123.46,-56.94,270.0,top
U2,141.25,-56.94,90.0,top
